date, Relative modulation level, Boiler water temperature, Return water temperature, CH mode, DHW mode, Flame status, Fault
2019-10-03 21:16:22, 0.00, 31.40, 28.40, 0, 0, 0, 0
2019-10-03 21:16:35, 0.00, 31.40, 28.40, 0, 0, 0, 0
2019-10-03 21:16:48, 0.00, 31.40, 28.40, 0, 0, 0, 0
2019-10-03 21:17:01, 0.00, 31.40, 28.40, 0, 0, 0, 0
2019-10-03 21:17:14, 0.00, 31.20, 28.30, 0, 0, 0, 0
2019-10-03 21:17:27, 0.00, 31.20, 28.30, 0, 0, 0, 0
2019-10-03 21:17:40, 0.00, 31.20, 28.30, 0, 0, 0, 0
2019-10-03 21:17:53, 0.00, 31.20, 28.30, 0, 0, 0, 0
2019-10-03 21:18:06, 0.00, 31.12, 28.30, 0, 0, 0, 0
2019-10-03 21:18:19, 0.00, 31.10, 28.20, 0, 0, 0, 0
2019-10-03 21:18:32, 0.00, 31.10, 28.20, 0, 0, 0, 0
2019-10-03 21:18:45, 0.00, 31.10, 28.20, 0, 0, 0, 0
2019-10-03 21:18:58, 0.00, 31.00, 28.20, 0, 0, 0, 0
2019-10-03 21:19:11, 0.00, 31.00, 28.20, 0, 0, 0, 0
2019-10-03 21:19:24, 0.00, 31.00, 28.00, 0, 0, 0, 0
2019-10-03 21:19:51, 0.00, 30.97, 28.00, 0, 0, 0, 0
2019-10-03 21:20:04, 0.00, 30.80, 28.00, 0, 0, 0, 0
2019-10-03 21:20:17, 0.00, 30.80, 27.90, 0, 0, 0, 0
2019-10-03 21:20:30, 0.00, 30.80, 27.90, 0, 0, 0, 0
2019-10-03 21:20:43, 0.00, 30.80, 27.90, 0, 0, 0, 0
2019-10-03 21:20:56, 0.00, 30.70, 27.90, 0, 0, 0, 0
2019-10-03 21:21:09, 0.00, 30.70, 27.90, 0, 0, 0, 0
2019-10-03 21:21:22, 0.00, 30.70, 27.80, 0, 0, 0, 0
2019-10-03 21:21:35, 0.00, 30.70, 27.80, 0, 0, 0, 0
2019-10-03 21:21:48, 0.00, 30.70, 27.80, 0, 0, 0, 0
2019-10-03 21:22:01, 0.00, 30.60, 27.80, 0, 0, 0, 0
2019-10-03 21:22:14, 0.00, 30.60, 27.80, 0, 0, 0, 0
2019-10-03 21:22:27, 0.00, 30.60, 27.60, 0, 0, 0, 0
2019-10-03 21:22:40, 0.00, 30.60, 27.60, 0, 0, 0, 0
2019-10-03 21:22:53, 0.00, 30.50, 27.60, 0, 0, 0, 0
2019-10-03 21:23:06, 0.00, 30.50, 27.60, 0, 0, 0, 0
2019-10-03 21:23:19, 0.00, 30.50, 27.60, 0, 0, 0, 0
2019-10-03 21:23:32, 0.00, 30.50, 27.50, 0, 0, 0, 0
2019-10-03 21:23:45, 0.00, 30.50, 27.50, 0, 0, 0, 0
2019-10-03 21:23:58, 29.00, 30.30, 27.50, 0, 1, 0, 0
2019-10-03 21:24:11, 29.00, 45.59, 27.69, 0, 1, 1, 0
2019-10-03 21:24:24, 51.00, 51.68, 37.98, 0, 1, 1, 0
2019-10-03 21:24:37, 33.00, 55.50, 44.31, 0, 1, 1, 0
